unemprate,Year,State,total.population,male,female,under_5yrs,X5to9_yrs,X10to14_yrs,X15to19_yrs,X60to64_yrs,X65to74_yrs,X75to84_yrs,X85andover,median_age,X18yrsandover,whitepop,blackorafricanam_pop,americanindian_alnat,asian,hispanic_latino,housing_units,ES_16above,ES_inlabor,ES_not_inlabor,ES_own_under6,ES_Gov,ES_Const,ES_Manuf,Male_household_nofamily,None_Family_household,Householder_living_alone,Household_people_under18,Population_in_household,Relationship_child,Never_Married,Divorced,Kindergarten,X12grade_nodiploma,Some_college_no_degree,Grade_professional_degree,Naturalised_US_citizen,Not_US_citizen
7.7,2010,Maryland,5696423,2754058,2942365,365093,365680,382067,412041,293074,362224,225847,89209,37.6,4334331,3396216,1665235,16213,304574,5696423,2354870,4503062,3135769,1367293,420852,643957,217804,152988,96762,697648,570898,739716,5558493,1685784,779254,174931,74066,295600,732128,604519,335717,414816
8.3,2010,Massachusetts,6477096,3132249,3344847,368326,389481,408047,469182,342599,430413,308818,137366,38.7,5045148,5289078,422303,12584,335906,6477096,2786077,5224911,3537380,1687531,434472,426584,191971,323351,99318,911964,727048,801499,6239194,1837107,951729,192057,81379,282661,701624,716646,455803,486452
12.6,2010,Michigan,9952687,4884438,5068249,614482,652979,700117,760339,521413,685746,451608,179638,38.1,7531713,7895340,1401616,54502,242886,9952687,4529680,7836314,4944003,2892311,716206,530927,230305,770715,162472,1290018,1083656,1251387,9716837,3016138,1322255,386152,132328,552198,1538716,627038,286257,305277
7.4,2010,Minnesota,5241914,2601448,2640466,352610,346028,357759,374975,254962,333857,224682,99624,37.1,3959836,4539826,257165,55370,204202,5241914,2327948,4111966,2920173,1191793,410656,334700,167128,384319,82987,727739,585619,677268,5106168,1490633,690936,173859,67670,175683,772942,347737,159386,207565
10.4,2010,Mississippi,2941991,1427843,1514148,208491,206547,209075,227474,148502,206020,119449,43868,35.8,2184616,1761910,1088270,13610,24691,2941991,1255090,2274381,1358952,915429,234448,229171,94487,163836,51624,331778,289199,392041,2848779,903231,378496,119855,46692,247938,406837,128172,20476,43042
9.6,2010,Missouri,5922314,2895638,3026676,386777,385737,401187,429731,311037,429122,272996,110606,37.6,4494462,4938222,679062,22829,92147,5922314,2687610,4664019,3042128,1621891,443545,371076,194949,335811,97265,803446,670134,761111,5749227,1679684,714161,243382,78930,358523,859097,360148,90473,126225
7.3,2010,Montana,973739,487959,485780,59722,60375,61681,69519,56972,74844,47290,17749,39.7,750700,874571,4325,60135,6091,973739,471723,778518,508615,269903,69018,88177,42525,23744,15368,145198,116779,116926,945313,247750,118069,45570,12085,39810,156844,56576,10366,8753
4.6,2010,Nebraska,1799125,890558,908567,129410,124332,122433,130360,87611,118157,85475,37154,36.2,1345794,1587857,77986,15651,29624,1799125,788218,1397699,993941,403758,150174,132571,61002,102617,27427,244521,202517,232440,1747881,513712,220367,62924,25250,68369,275320,101878,35603,70695
13.5,2010,Nevada,2633331,1331625,1301706,188595,180286,178081,177337,142471,182624,92580,27835,35.9,1976219,1938033,207567,28403,183979,2633331,1140555,2050325,1387343,662982,216117,155498,115602,54763,59754,336721,257553,339339,2597687,761831,355256,129753,35488,163189,442005,128666,199952,308930
5.8,2010,New Hampshire,1313939,648504,665435,72297,79072,87413,96564,75034,90530,56693,23108,40.3,1017987,1241539,14186,2835,27754,1313939,607758,1056843,739794,317049,85287,92838,52071,91791,20822,167676,128445,165465,1274476,359796,159942,54220,15636,55108,168492,106406,35302,33697
9.5,2010,New Jersey,8721577,4244502,4477075,547150,568845,588365,601440,448896,584648,403954,166969,38.5,6640037,6074010,1176241,19683,697788,8721577,3529033,6893087,4596702,2296385,641671,615807,259043,396329,145700,977419,824236,1128497,8533093,2727239,1199103,224141,115734,424463,986441,763027,882018,891841
8.1,2010,New Mexico,2013122,992833,1020289,143300,138933,139790,151222,109310,144639,83437,30312,36.4,1500649,1433955,39935,188217,27463,2013122,887890,1561181,966423,594758,162941,198160,75349,47079,42784,258740,213485,255062,1970764,611257,272502,84731,27785,123052,299157,140432,62168,133602
8.6,2010,New York,19229752,9300854,9928898,1158665,1169730,1239565,1381069,988062,1305079,882458,367791,37.7,14846155,12764402,2990591,66876,1392380,19229752,8050835,15394140,9808150,5585990,1338231,1520566,533243,654700,346730,2549625,2095241,2365479,18636816,5731637,2922502,517649,235906,1107494,2050472,1780983,2170747,2009328
10.9,2010,North Carolina,9271178,4519289,4751889,621871,618644,616451,652659,495548,650646,382077,135049,37.1,7032968,6453727,1980942,106026,194993,9271178,4229552,7287107,4725801,2561306,713319,641586,349220,568153,154400,1203487,1002619,1214694,9012310,2614716,1138283,321590,124081,631062,1278861,532165,195984,486971
3.8,2010,North Dakota,659858,332932,326926,41792,39107,40160,49388,33005,45490,34129,16391,37.2,512138,597392,7034,34798,6132,659858,312861,529990,370984,159006,48780,60231,24388,26495,9535,106165,87167,79266,634679,169044,93874,22823,8021,21347,99183,29768,6157,9650
10.3,2010,Ohio,11512431,5616436,5895995,724665,756841,783842,837193,607710,816342,550734,217623,38.3,8746158,9598726,1391240,22785,186464,11512431,5107273,9079315,5889779,3189536,839807,693114,301725,859548,189544,1568770,1322280,1460679,11206368,3356963,1451143,467102,150720,701533,1539096,674910,212015,228746
6.8,2010,Oklahoma,3675339,1816749,1858590,256624,252493,248104,266519,189709,268716,162459,60247,36.3,2762318,2720135,267179,259809,61581,3675339,1644228,2866572,1806858,1059714,292450,285562,123882,169945,64104,470463,397371,476923,3563497,1041677,421632,166848,53790,232987,559367,176139,62165,130623
