unemprate,Year,State,total.population,male,female,under_5yrs,X5to9_yrs,X10to14_yrs,X15to19_yrs,X60to64_yrs,X65to74_yrs,X75to84_yrs,X85andover,median_age,X18yrsandover,whitepop,blackorafricanam_pop,americanindian_alnat,asian,hispanic_latino,housing_units,ES_16above,ES_inlabor,ES_not_inlabor,ES_own_under6,ES_Gov,ES_Const,ES_Manuf,Male_household_nofamily,None_Family_household,Householder_living_alone,Household_people_under18,Population_in_household,Relationship_child,Never_Married,Divorced,Kindergarten,X12grade_nodiploma,Some_college_no_degree,Grade_professional_degree,Naturalised_US_citizen,Not_US_citizen
10.3,2011,North Carolina,9418736,4588579,4830157,626759,626474,627278,657853,522952,676001,387994,140144,37.3,7156319,6560948,2016228,108960,202815,9418736,4286863,7411079,4784984,2626095,721759,649649,327420,555549,155092,1215212,1012403,1219136,9159697,2677585,1169417,327409,126945,618544,1330839,553158,210009,490207
3.5,2011,North Dakota,666783,336763,330020,42821,40160,39426,48515,34965,46223,34186,16422,37.1,518413,602373,7231,35544,6693,666783,315517,536039,376826,159213,49970,60807,25235,26441,9540,107047,87953,79472,641748,171349,95002,23527,8317,21042,103197,30177,6213,10191
8.8,2011,Ohio,11525536,5624513,5901023,720783,753860,775658,828229,642987,835225,548296,223339,38.5,8781360,9592249,1395378,21194,190485,11525536,5119693,9110226,5883960,3226266,837527,694336,290224,834161,190375,1578296,1328226,1443749,11218814,3358030,1472569,471348,149815,676886,1574430,692282,217854,232993
5.9,2011,Oklahoma,3714520,1838148,1876372,260242,255713,250377,265904,199079,274948,164145,60454,36.3,2793624,2743563,270192,258295,63471,3714520,1656132,2897182,1823779,1073403,297778,290982,123766,169120,64464,474837,399850,478868,3603411,1057464,428280,169369,55273,226368,577792,182239,64579,134648
9.5,2011,Oregon,3801991,1882081,1919910,235479,238140,239654,255366,228281,279857,168369,74352,38.2,2937534,3245856,68155,57114,139258,3801991,1666014,3039160,1947759,1091401,271803,252078,113378,201509,63746,547568,421820,455849,3716178,1013285,489519,170561,45729,179556,685104,272793,135586,237555
7.9,2011,Pennsylvania,12660739,6167949,6492790,727677,758663,792959,914331,720961,960937,686753,296883,39.9,9857384,10473096,1358759,18065,341880,12660739,5554939,10209810,6456527,3753283,849875,693343,360192,760154,209217,1717667,1442877,1493320,12229824,3599290,1743913,412100,147712,709982,1402444,879628,362007,361419
11,2011,Rhode Island,1053959,508799,545160,57976,61199,64834,80411,57509,72458,53284,25293,39.1,827354,863294,62682,4606,31476,1053959,462346,855960,567760,288200,68327,68266,27797,60363,17354,153455,125676,125973,1010718,298702,156592,38274,11515,63656,128082,85339,64737,70829
10.6,2011,South Carolina,4575864,2227017,2348847,299328,292378,297045,327882,270722,357576,192192,66728,37.7,3500728,3075318,1281627,14939,56575,4575864,2117357,3624311,2262934,1361377,340297,321629,153713,275557,75914,572864,484505,571683,4436123,1304569,600555,159316,69019,322450,608707,259911,69850,150031
4.7,2011,South Dakota,807697,404695,403002,57549,53527,55107,58606,41959,56529,40381,18904,37.1,607319,697042,9347,69154,7672,807697,361057,630184,438039,192145,65695,67296,26131,41335,12577,110648,92230,100876,774058,221647,102370,31439,10059,29557,116298,39920,7663,12045
9,2011,Tennessee,6297991,3070555,3227436,405182,408616,419399,434346,361876,473505,265308,97434,37.8,4806514,4949985,1048714,15285,90471,6297991,2794990,4978954,3122238,1856716,465033,402743,196804,375751,106413,809243,686116,799853,6145671,1786633,747875,276487,83310,432019,875900,342180,90496,193782
7.8,2011,Texas,24774187,12291119,12483068,1923740,1888441,1842336,1867910,1141790,1428025,815956,299609,33.5,17999725,18093212,2917108,125101,939558,24774187,9869239,18747892,12285284,6462608,2218192,1659622,942485,1088831,427461,2593164,2142925,3377887,24192972,7994324,3174244,860116,400633,1507642,3449426,1330503,1294355,2711470
6.7,2011,Utah,2715379,1364170,1351209,258736,241841,222709,219118,103713,133792,79930,29431,29.1,1863703,2426175,29056,30842,54866,2715379,968821,1948759,1345620,603139,301728,199872,93672,134568,35480,217004,168227,374354,2670193,980703,309710,77186,48463,97492,421984,146883,74834,148699
5.5,2011,Vermont,624958,308125,316833,32004,34693,38111,46803,39083,47941,29880,11643,41.4,494588,596736,5464,1802,7544,624958,321284,511749,351086,160663,37005,48559,25129,34853,10971,93777,71370,75021,600072,154292,84150,27426,6508,25353,73218,57164,13872,10541
6.6,2011,Virginia,7926192,3891319,4034873,506909,503819,512292,555738,433005,534248,303925,117867,37.3,6082265,5526985,1545568,25665,430227,7926192,3345898,6295555,4231576,2063979,586687,793717,274462,302036,123457,975066,790785,1005791,7685632,2250818,1045465,256842,104799,424932,1050703,749438,393323,476761
9.3,2011,Washington,6652845,3314698,3338147,433191,424151,436465,460989,369097,439397,256175,111706,37.1,5083627,5256224,233549,94243,470798,6652845,2861985,5269197,3474595,1794602,499772,519504,220452,330083,114882,919466,717979,840845,6511409,1848170,876357,280038,83528,273053,1114198,500342,379106,475133
8.1,2011,West Virginia,1846372,908648,937724,104182,103721,110750,122049,119094,160181,98153,36137,41.1,1458378,1736461,58296,3052,11809,1846372,880962,1504751,826469,678282,118697,145645,54241,66040,30955,253197,217114,209780,1797596,491113,222072,88407,20821,140334,231195,86980,11337,12956
7.8,2011,Wisconsin,5664893,2810744,2854149,355412,365209,378237,404541,301511,390304,262436,114287,38.3,4326412,4941085,352620,48741,125630,5664893,2609819,4487568,3084116,1403452,416079,357991,165937,530612,94807,799963,645180,711178,5513806,1578567,752219,210786,86490,250548,791771,330966,108824,154542
5.8,2011,Wyoming,554697,282671,272026,38839,36270,35847,38380,30666,38063,22025,8180,36.9,421451,506661,4309,12752,3985,554697,258990,436090,304922,131168,45243,59112,25021,14292,9289,74349,60205,68637,541016,149081,66382,26460,7223,20545,99220,29789,6085,11166
8,2012,Alabama,4777326,2317520,2459806,305091,309360,318484,337159,279202,374441,211411,77453,37.8,3647097,3321318,1256097,26166,54923,4777326,2172647,3779457,2265008,1514449,347979,338248,145362,279230,75330,595032,520356,597337,4662328,1410806,584355,207461,64873,363148,691686,256884,51002,115732
7.1,2012,Alaska,711139,370127,341012,53591,50142,51202,52159,35216,35849,15502,4421,33.8,524513,477985,24219,98976,37968,711139,305445,545497,389890,155607,61566,88638,27168,13347,14859,83274,64130,94150,684891,218013,105333,32300,9606,23928,130339,43527,25763,23578
8.3,2012,Arizona,6410979,3187926,3223053,455375,448721,450322,455730,351204,505280,284635,104595,36,4786328,5085954,262284,283805,177598,6410979,2841432,4967615,3049419,1918196,526186,420242,197357,205896,122792,803229,639422,777578,6268955,1902725,876661,263025,88171,335252,1088815,403096,312159,556660
7.6,2012,Arkansas,2916372,1431252,1485120,196735,198270,195805,203374,167529,236461,135050,50672,37.4,2206988,2285577,453062,17390,35744,2916372,1316874,2285328,1377211,908117,224843,208137,87424,178206,49436,363729,311434,368666,2836093,832795,330745,134161,39557,199215,428914,127755,37967,91182
10.4,2012,California,37325068,18561020,18764048,2543777,2503818,2577389,2788579,1839932,2312897,1381604,606005,35.2,28042262,23252553,2254160,291505,4921543,37325068,13667226,29163075,18821426,10341649,2938955,2426914,1027677,1679459,730104,3916297,3030438,4635148,36504565,11775763,5778554,1172808,516636,2090094,5345201,2676985,4680873,5423866
7.9,2012,Colorado,5042853,2529614,2513239,340829,348656,330838,340530,270950,316420,170889,71034,36.1,3822574,4243753,201424,49099,136882,5042853,2211615,3955983,2749557,1206426,398706,361860,198104,179691,84723,702755,554435,639842,4926643,1422828,678866,202530,69416,194235,760014,440391,174877,315077
8.3,2012,Connecticut,3572213,1739522,1832691,200031,221806,238955,254462,205639,258464,166552,84806,40,2760001,2802217,355660,8531,138355,3572213,1485445,2859923,1949251,910672,236010,239107,102566,197445,57050,452584,375133,450264,3454351,1057350,496941,123406,42742,158805,429013,384892,226263,255617
7.2,2012,Delaware,900131,436338,463793,56062,57471,55956,63565,53515,73768,40834,16275,38.7,694530,634259,192629,2877,29177,900131,405883,718553,464607,253946,63953,61820,28198,39784,15916,108278,87423,108268,875458,261220,122851,32877,11572,49416,122507,68964,32011,42894
9,2012,District of Columbia,605759,286427,319332,34718,26928,25328,41968,30778,37180,21805,10060,33.9,501773,239413,309263,2143,21440,605759,296671,513352,348010,165342,38582,83041,9478,3929,9470,151549,121307,53171,565879,132150,142162,20627,6564,31961,59867,119786,31084,50964
8.5,2012,Florida,18885152,9232292,9652860,1076198,1082352,1128870,1215977,1136982,1747634,1100975,448955,40.8,14882779,14438364,3005551,58119,464587,18885152,8983414,15364895,9328439,6036456,1242909,1096417,573032,454953,319703,2515608,2050448,2069887,18461796,5266313,2553294,845207,221443,1123105,2771371,1227890,1795709,1848623
9.2,2012,Georgia,9714569,4747484,4967085,685245,697499,685318,713989,496835,617602,313881,115143,35.4,7229618,5903173,2970481,24937,318530,9714569,4086231,7508748,4844814,2663934,790437,676488,294651,466887,162005,1111232,927826,1271113,9455567,2999434,1299191,360018,146435,608994,1309587,627430,340225,599339
6,2012,Hawaii,1362730,683498,679232,88203,80814,82899,85001,84539,101744,63936,31368,38.4,1059710,339079,22399,3079,527745,1362730,519811,1093852,727728,366124,99565,131504,48502,20822,25019,137153,106901,151921,1319671,378644,205985,47417,16984,47905,208480,93125,138469,108333
7.2,2012,Idaho,1567803,785954,781849,119601,118922,117966,115001,84935,111154,60858,24664,34.7,1141984,1445289,8821,19376,19097,1567803,666718,1188341,767626,420715,140659,112402,53575,69184,24216,173557,137564,206713,1538681,483335,172169,65532,23967,68026,269072,76443,31511,62503
9,2012,Illinois,12823860,6291373,6532487,832930,856381,874587,918175,669571,860161,527019,235164,36.6,9711122,9298731,1860471,26669,595110,12823860,5293619,10079433,6719976,3359457,970469,783830,324722,767822,214994,1631928,1361798,1596606,12521273,3965180,1838840,425773,172507,615797,1804949,996459,802068,966237
8.3,2012,Indiana,6485530,3192018,3293512,431230,442708,451912,473350,352258,457066,277922,112487,37,4883032,5500814,582691,15241,102713,6485530,2797237,5067379,3292887,1774492,498592,348236,177746,548366,107573,823312,685009,822324,6298088,1921947,814989,282857,88059,372057,883070,348807,103794,194169
5,2012,Iowa,3047646,1507335,1540311,198875,200624,201194,217622,171866,226947,154738,73759,38,2322284,2793432,88664,9708,54262,3047646,1337410,2405664,1651480,754184,232656,218758,95581,229557,47378,427611,350339,376074,2948220,834837,375129,117307,39990,112971,441428,156853,49633,82697
5.7,2012,Kansas,2851183,1414881,1436302,202762,201354,198785,203758,150280,192328,126111,59829,36,2129429,2435253,164177,23435,68683,2851183,1233125,2208363,1513938,694425,235153,232097,88243,179685,47351,379083,314256,366358,2771928,829516,345753,115694,41178,113674,448445,191805,63278,123246
8.2,2012,Kentucky,4340167,2134355,2205812,280640,280790,286821,294459,250700,329574,182531,70972,38,3318788,3823344,339228,8607,49681,4340167,1927916,3433526,2071789,1361737,318001,289489,116740,254467,75215,556691,474821,552658,4214511,1231930,518929,200985,59096,291767,595225,247039,47300,92486
7.1,2012,Louisiana,4529605,2215673,2313932,313009,306753,306632,321042,246851,315611,179546,67337,35.9,3414544,2856883,1450992,28702,71460,4529605,1964329,3542555,2192304,1350251,357825,329436,166777,160722,81599,566188,479985,579873,4402312,1379690,633702,184063,64166,335236,629013,209520,68101,99135
7.5,2012,Maine,1329084,650219,678865,68687,74526,78892,88528,90756,114368,70160,28703,42.8,1055248,1266435,14338,7168,13971,1329084,721171,1089755,706163,383592,80103,92093,47092,62054,22886,203351,160097,153127,1293440,332321,163254,65949,14365,55454,188547,91550,24647,19502
7,2012,Maryland,5785496,2798875,2986621,365258,364480,379894,405282,320148,392312,225321,98093,37.9,4434793,3408049,1700174,17323,323363,5785496,2378932,4598714,3199290,1399424,424914,657659,206098,150538,98654,706424,580083,732559,5645634,1727608,814952,182308,75352,272887,770779,633904,363595,432809
6.7,2012,Massachusetts,6560595,3174988,3385607,366952,387881,402157,467264,373271,463633,302782,144664,39.1,5143797,5310948,446347,12908,357354,6560595,2804206,5320423,3614094,1706329,433890,428416,182294,314245,100217,921488,733820,788855,6316953,1871423,981462,202033,82906,268218,739171,751167,484422,487043
9.1,2012,Michigan,9897264,4855361,5041903,593776,636054,675417,734610,569824,733580,448041,190604,38.8,7558852,7852317,1391269,55723,245587,9897264,4531958,7849558,4889594,2959964,692261,516699,207349,722680,165359,1299974,1091619,1205489,9667270,2985060,1352844,397934,130368,516802,1581958,645350,296261,301494
5.6,2012,Minnesota,5313081,2638499,2674582,352455,354669,353328,369657,283610,359092,225687,104717,37.4,4032749,4570137,271953,56770,216159,5313081,2347928,4180087,2955309,1224778,414682,338159,155001,376376,86507,736030,592835,670480,5177138,1518042,716441,181609,69758,169189,794194,368478,171129,211603
9,2012,Mississippi,2967620,1439787,1527833,208315,206573,209137,222714,161812,217045,121600,45196,36,2214150,1768530,1101849,13344,26403,2967620,1274277,2300867,1361499,939368,235955,233579,87251,155506,52747,337690,295096,385926,2874898,921318,388559,124041,47286,235003,430549,137382,20635,44683
6.9,2012,Missouri,5982413,2929988,3052425,385372,389283,396728,421390,336134,454658,273332,115482,37.9,4564018,4972530,689683,22704,96035,5982413,2710506,4729641,3062560,1667081,445391,371816,178324,324797,99262,814742,677662,746587,5808612,1700083,746114,253975,80092,341805,907325,382018,96682,134403
6,2012,Montana,990785,497141,493644,60865,62478,60620,67002,63838,81418,47012,19542,39.9,767735,887924,4145,62398,6034,990785,481401,794385,517348,277037,71298,88312,39115,22791,16335,149271,121048,114425,962040,255721,125527,46859,12808,38263,168274,58982,10379,9120
4,2012,Nebraska,1827306,906143,921163,130754,127741,124195,129347,97611,124131,84830,38582,36.3,1369381,1612538,82341,16461,32302,1827306,797210,1419577,1008534,411043,151600,135602,61041,102241,28869,252335,208822,231333,1776057,523423,228369,66503,26134,64781,287787,107556,39245,73224
11.2,2012,Nevada,2704204,1365496,1338708,187513,186194,179000,179435,152306,200930,96855,31606,36.3,2040581,1970074,218305,30061,196245,2704204,1171300,2115306,1414374,700932,219404,159312,90723,51936,60621,347686,267310,337289,2668131,797618,378179,138080,36752,166105,468061,133149,213639,305275
5.5,2012,New Hampshire,1317474,650048,667426,69372,76853,84857,94710,82309,98760,57678,24065,41.1,1031739,1241440,15339,2470,28684,1317474,613995,1068648,745330,323318,81882,96255,50113,88858,20972,169601,130449,160941,1277491,358462,164324,56171,15204,52584,173637,111375,36226,33399
9.3,2012,New Jersey,8793888,4283189,4510699,537989,563537,585035,597051,482933,620899,397292,177899,38.9,6738236,6121023,1187307,21702,736015,8793888,3555864,6985329,4672338,2312991,635962,611028,241514,382554,149243,981348,827592,1112661,8606711,2774242,1245995,232246,117304,396922,1023647,797718,928035,905041
7.1,2012,New Mexico,2055287,1015710,1039577,143937,142788,141373,148538,121112,155997,86633,32473,36.6,1539817,1492641,41634,189785,26855,2055287,900504,1597923,979619,618304,166478,199496,66690,45358,43838,262857,217914,249967,2012699,631171,283209,91215,28167,122562,319412,146730,66409,134129
8.5,2012,New York,19398125,9391875,10006250,1159763,1157647,1212044,1356668,1068688,1378799,870606,391229,38,15081205,12808268,3037255,69500,1445539,19398125,8102223,15615122,9969586,5645536,1343944,1500457,516447,626972,351847,2584572,2119199,2319186,18810163,5813858,3043589,538222,239205,1078432,2155666,1853184,2229143,2038877
9.3,2012,North Carolina,9544249,4649769,4894480,627188,631658,635713,659421,538083,707990,395483,144496,37.4,7269311,6659867,2047092,110171,211708,9544249,4325088,7523670,4832418,2691252,725976,650839,311292,545336,160072,1228458,1021836,1220178,9286780,2732523,1208323,336923,129346,606026,1381228,569980,220890,497904
3.1,2012,North Dakota,676253,342030,334223,44052,41583,39018,47983,37182,47452,33861,16556,36.9,525953,608799,8286,36160,6869,676253,319468,543270,383089,160181,51680,61521,25785,26367,10113,109471,89495,79363,651023,173482,97347,24792,8853,21002,105668,32875,6491,10545
7.4,2012,Ohio,11533561,5630373,5903188,712820,750218,770410,817811,669501,860348,543287,230967,38.8,8815483,9577732,1403238,21447,196395,11533561,5124503,9138488,5880517,3257971,832090,693695,280669,815530,193283,1593492,1341169,1424041,11226654,3356360,1496295,481475,149767,656111,1609204,701223,223619,230968
5.2,2012,Oklahoma,3749005,1855637,1893368,261232,258733,253991,263445,203660,283129,163990,62701,36.3,2822253,2766297,270993,261060,65643,3749005,1664404,2924464,1834109,1090355,298986,293699,124876,165749,67400,478857,403240,478315,3638185,1074620,439212,174212,55167,222264,593033,186824,66456,137899
8.8,2012,Oregon,3836628,1899186,1937442,234979,239038,240793,252826,238730,295472,167730,77325,38.4,2972385,3272707,69377,52637,143652,3836628,1673593,3072774,1957085,1115689,272087,250369,103639,198941,65617,548444,421620,453452,3750575,1028110,500516,174119,46548,177314,704792,280876,141435,234573
7.8,2012,Pennsylvania,12699589,6190405,6509184,725723,757222,785656,904109,745208,991108,675192,306047,40.1,9916771,10475818,1372144,19247,351626,12699589,5563832,10265643,6487488,3778155,848882,685685,349627,747232,212675,1732439,1453512,1478378,12271822,3613293,1779777,416773,147181,684247,1431692,902798,372727,365451
10.4,2012,Rhode Island,1052471,508521,543950,56804,59686,64821,79536,59152,75293,51614,26256,39.4,829433,859686,64711,4784,31863,1052471,462603,857434,568800,288634,67171,67331,26513,59190,18172,154539,125737,123580,1009824,296613,160069,38632,11439,60859,130358,86445,66555,69801
9.2,2012,South Carolina,4630351,2251898,2378453,299819,296618,297930,325253,279469,375219,195287,69592,37.9,3552529,3108466,1290704,15122,57635,4630351,2134456,3675075,2280559,1394516,342749,323591,141930,272400,77500,576204,486457,570706,4490811,1328471,614331,164400,71244,317253,633902,269034,72485,149621
4.3,2012,South Dakota,815871,409334,406537,58268,54611,54883,58773,44264,58012,40085,19355,37.1,613939,701466,10331,71532,8060,815871,363793,636670,441775,194895,66700,68191,27152,41157,12972,112740,94200,100035,782064,224903,105391,33158,10144,28776,118715,41376,8267,13221
7.8,2012,Tennessee,6353226,3097568,3255658,406033,410421,421634,431820,373372,492409,269423,99587,38,4859390,4982977,1060494,15991,92800,6353226,2811854,5030090,3137286,1892804,468031,406487,189371,364481,105476,818328,693499,795399,6200650,1811568,764090,281748,82572,419059,901089,353840,95955,193091
6.7,2012,Texas,25208897,12509812,12699085,1928842,1921140,1876594,1878407,1195355,1495256,829289,310845,33.6,18359568,18670767,2972834,127794,979385,25208897,9978137,19110058,12507191,6602867,2233363,1675528,928574,1086151,438117,2641760,2182605,3401269,24625722,8167504,3274803,892529,408589,1509625,3592978,1378696,1343456,2755558
5.4,2012,Utah,2766233,1389986,1376247,260218,247412,229653,219322,108223,139850,81677,30401,29.3,1899143,2465277,29912,30823,56081,2766233,979848,1984562,1368252,616310,305100,202330,87582,135059,36334,221044,171929,376882,2720508,1005762,318557,81272,49711,98107,434957,153664,76608,152281
5,2012,Vermont,625498,308429,317069,31675,34418,37461,46183,40973,50297,29411,12353,41.7,497194,596251,5804,1855,7891,625498,322243,513968,350996,162972,36887,48240,24754,34773,10268,95108,71717,73115,600360,153602,85148,27895,6536,24740,74319,58165,14877,10408
6.1,2012,Virginia,8014955,3933820,4081135,507701,508191,515419,552703,449136,559430,307132,121943,37.4,6166242,5575445,1561042,25205,443460,8014955,3365855,6377782,4276515,2101267,591096,801540,264814,297251,124183,980316,795232,1004290,7773620,2290014,1073162,265156,105260,415628,1080148,772010,412407,480770
8.1,2012,Washington,6738714,3360046,3378668,437979,427964,437837,457294,387162,464796,258085,114339,37.2,5162811,5304864,238255,93416,484047,6738714,2884186,5345975,3511749,1834226,504821,522793,208134,331729,115082,930477,726839,837263,6598031,1886602,899516,287466,84846,267656,1142462,512652,396491,480390
7.5,2012,West Virginia,1850481,911142,939339,104141,104345,110726,119506,125451,164894,98197,36261,41.3,1463353,1737369,58260,2934,12694,1850481,882240,1508549,827489,681060,119322,145596,51384,64561,30981,258143,221663,208276,1801372,493410,224789,90666,20761,134526,238457,89182,11475,13756
7,2012,Wisconsin,5687219,2822271,2864948,355308,366652,376608,399788,315089,405090,262023,116549,38.5,4353443,4961852,353470,49289,129550,5687219,2620401,4512525,3090671,1421854,416540,360345,159488,524289,96558,809488,653398,703952,5537612,1587496,760229,217810,87908,242454,808111,339293,110301,154119
5.3,2012,Wyoming,562803,286644,276159,39192,37327,36193,38505,31842,39813,21854,8705,36.9,427994,513021,4689,12951,4392,562803,261430,442182,307324,134858,46092,59238,24339,13442,9246,75487,61207,69185,549070,152791,68262,26961,7138,20726,101199,30020,6178,11802
7.2,2013,Alabama,4799277,2328592,2470685,301925,306456,320031,332287,285880,387589,214771,78214,38.1,3675910,3326188,1262152,25278,56831,4799277,2178116,3806434,2259344,1547090,345134,337412,137668,275149,77284,596997,522010,592093,4683880,1418049,596005,210491,64170,358529,703243,264299,53829,114403
7,2013,Alaska,720316,375798,344518,54362,50374,51821,51612,37413,38394,15701,4922,33.6,532446,481638,25033,101273,39200,720316,306662,553214,393037,160177,62564,88271,26094,12992,14272,82532,64046,92325,693856,223837,109325,32370,10020,24142,130962,44487,26990,23385
7.7,2013,Arizona,6479703,3221367,3258336,446556,452538,452033,455848,362387,530816,292747,108159,36.3,4858658,5131739,270027,286953,182953,6479703,2859768,5039711,3056508,1983203,517766,415326,181102,204219,124962,807168,642974,775045,6335998,1928352,899394,269532,88759,334656,1094505,415001,325061,544807
7.2,2013,Arkansas,2933369,1439862,1493507,195357,200246,196350,201018,169771,243527,136433,51762,37.5,2223405,2295446,454903,17945,37776,2933369,1320772,2301443,1372975,928468,225235,207620,84557,173568,50723,366842,312753,366052,2852772,839575,337147,136750,40164,197050,433799,132160,39680,93717
8.9,2013,California,37659181,18726468,18932713,2527752,2517928,2564734,2750118,1914064,2426218,1391398,629249,35.4,28416963,23467167,2255372,286397,5005635,37659181,13726869,29516595,18946244,10570351,2925897,2398622,996922,1659850,742821,3938638,3040221,4613728,36843355,11869789,5891713,1193182,517658,2085785,5404742,2747589,4790971,5384868
6.9,2013,Colorado,5119329,2568343,2550986,339802,351154,337828,340914,284020,337224,175283,72743,36.1,3891264,4301096,203755,49177,141719,5119329,2222782,4023722,2774490,1249232,397638,364351,186932,180228,85712,708155,556054,639803,5002024,1449694,701503,206649,69107,194797,773730,455393,182108,313412
7.8,2013,Connecticut,3583561,1745364,1838197,197395,220139,236742,255816,210753,269422,164260,86602,40.2,2779516,2792554,361668,8770,141709,3583561,1486995,2879150,1958723,920427,233669,237685,99444,193945,57399,452272,374214,442362,3464102,1065534,509794,125632,43010,155272,431469,392796,232348,254839
6.7,2013,Delaware,908446,439985,468461,56000,57316,56400,62266,55050,77332,41356,16958,38.9,703509,635474,194964,3010,30422,908446,407865,726364,466696,259668,64204,62188,26078,39004,15997,108923,87908,107386,883681,264022,124617,34151,11352,49343,121907,71429,34372,42391
8.5,2013,District of Columbia,619371,293104,326267,36492,28100,24399,40374,31234,38398,21801,10164,33.8,514080,248141,310530,1990,21845,619371,298327,525070,357458,167612,40585,83485,9045,4061,9784,151371,119573,54704,579281,134994,144324,21123,7087,30899,61310,127642,33886,51343
7.2,2013,Florida,19091156,9332589,9758567,1076304,1084998,1135630,1202527,1159268,1816699,1117145,466081,41,15084361,14568521,3056152,58390,475905,19091156,9003933,15563534,9355809,6207725,1244308,1084514,542384,441019,320254,2529227,2063572,2050375,18666285,5362889,2616365,867709,222951,1109845,2799815,1261975,1872035,1826711
8.2,2013,Georgia,9810417,4793940,5016477,677378,699759,695624,711700,512481,650420,321633,117964,35.6,7322131,5948977,3010984,24496,330392,9810417,4094812,7598174,4852644,2745530,784689,669313,278561,456197,164892,1118001,933730,1260842,9550824,3046597,1333292,366212,146779,601126,1333987,645954,353977,596693
4.9,2013,Hawaii,1376298,691426,684872,89223,81708,83842,83355,85466,107791,63137,32991,38.3,1071394,344488,24532,3050,526743,1376298,522164,1104534,728795,375739,101560,134363,44752,19932,24811,137713,107299,151659,1333167,383814,208714,47411,17914,48495,209554,96113,139956,106779
6.1,2013,Idaho,1583364,793708,789656,117755,119789,120310,114302,89126,117207,62232,25095,34.9,1156346,1455692,8957,19984,20141,1583364,670084,1201999,766649,435350,139460,113542,50925,68694,24939,175151,138724,204546,1554097,491156,175967,67085,23453,68249,271575,78516,33010,60794
9,2013,Illinois,12848554,6304099,6544455,820771,851781,871816,906761,695505,890539,524605,241714,36.8,9762138,9320910,1851524,27548,609923,12848554,5291704,10124119,6718236,3405883,955508,782356,310368,756029,216198,1636361,1365430,1576110,12547643,3968624,1866082,429419,170948,603512,1810007,1017849,818967,955759
7.7,2013,Indiana,6514861,3206295,3308566,427452,445453,449848,468392,363809,473582,275562,117586,37.1,4917721,5510618,592954,14975,107563,6514861,2800895,5099339,3283407,1815932,496711,345195,171832,544081,109905,826197,688283,816085,6327145,1931864,827389,286021,87241,365926,891274,355626,107555,200505
4.7,2013,Iowa,3062553,1516152,1546401,197610,202133,201997,216113,178920,232799,153334,75591,38.1,2337531,2802839,91754,9440,55878,3062553,1341001,2420102,1650140,769962,232181,216917,94259,228830,48776,431273,353057,374573,2963009,841108,382112,120093,41459,110553,440519,162199,52095,84966
5.3,2013,Kansas,2868107,1425049,1443058,202761,202977,200367,203366,156145,199791,125261,61200,36,2143345,2449273,164299,23958,70408,2868107,1235485,2222215,1509187,713028,236877,228475,86797,177830,48278,380833,315010,365786,2788981,837415,350649,117326,42197,112449,452591,196429,64588,126512
8,2013,Kentucky,4361333,2145986,2215347,278866,282577,287359,290705,257859,341140,184435,72300,38.2,3340703,3835013,341576,8811,51411,4361333,1930158,3454107,2076555,1377552,317070,289479,113206,252749,78364,557420,473591,549346,4235109,1236896,526588,203758,59122,285453,599340,255935,50530,93159
6.7,2013,Louisiana,4567968,2234939,2333029,312075,310624,307090,315135,253796,327199,181797,68507,36,3452150,2874235,1463345,28466,73460,4567968,1974313,3577960,2203325,1374635,359418,327180,163275,161080,84210,575369,486370,577902,4440185,1391921,648151,187749,64413,334851,639343,216649,71211,104788
6.6,2013,Maine,1328320,649600,678720,67176,73724,77907,86518,93508,119858,70301,29462,43.2,1059215,1264047,14637,7364,14391,1328320,721971,1092849,703066,389783,78164,92812,45585,60165,23050,203618,160165,151002,1292726,329137,163965,66540,14279,53077,189295,94559,25130,20155
6.6,2013,Maryland,5834299,2824531,3009768,366354,367529,378370,401113,332147,411214,226232,101226,38,4485506,3406243,1717582,17535,332620,5834299,2387285,4645779,3214633,1431146,425593,661516,198747,146253,100655,707971,580761,727895,5694032,1745559,832088,185775,76704,270755,773864,654896,380601,434148
6.7,2013,Massachusetts,6605058,3197502,3407556,366296,386310,399362,464514,382511,485891,299900,147989,39.2,5197008,5318548,454887,12956,368178,6605058,2808549,5371252,3636347,1734905,432277,424978,176818,310577,102042,923065,733952,782100,6359763,1885565,999903,206749,81856,260180,743847,770052,500860,490848
8.8,2013,Michigan,9886095,4851302,5034793,585258,628571,666478,718686,590952,763082,446454,195697,39.1,7582340,7841011,1385154,54881,251175,9886095,4529311,7865350,4864014,3001336,683869,508848,202160,718926,169828,1312337,1097524,1187100,9658274,2959171,1366227,406504,130076,506432,1582702,660288,301523,302714
5,2013,Minnesota,5347740,2655658,2692082,351416,356193,355286,366454,296392,375031,227945,105891,37.6,4067360,4575991,279944,57479,222761,5347740,2353932,4212737,2961476,1251261,412313,337966,150303,372415,87738,736820,592049,667061,5211939,1528957,726011,185467,70945,167413,796062,380224,181860,210177
8.5,2013,Mississippi,2976872,1445356,1531516,205585,206419,209849,218213,166676,223993,123311,45529,36.2,2228376,1769766,1106982,13030,27646,2976872,1277522,2312959,1355687,957272,233221,230033,82510,154611,52810,338790,295119,382104,2883757,921830,396041,123460,46825,231716,436007,139885,22384,44198
